assessment_name,url
desktop-support-new,https://www.shl.com/products/product-catalog/view/desktop-support-new/
digital-advertising-new,https://www.shl.com/products/product-catalog/view/digital-advertising-new/
digital-readiness-development-report,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report/
digital-readiness-development-report-manager,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report-manager/
docker-new,https://www.shl.com/products/product-catalog/view/docker-new/
dojo-new,https://www.shl.com/products/product-catalog/view/dojo-new/
drupal-new,https://www.shl.com/products/product-catalog/view/drupal-new/
dsi-v1-1-interpretation-report,https://www.shl.com/products/product-catalog/view/dsi-v1-1-interpretation-report/
econometrics-new,https://www.shl.com/products/product-catalog/view/econometrics-new/
economics-new,https://www.shl.com/products/product-catalog/view/economics-new/
electrical-and-electronics-engineering-new,https://www.shl.com/products/product-catalog/view/electrical-and-electronics-engineering-new/
electrical-engineering-new,https://www.shl.com/products/product-catalog/view/electrical-engineering-new/
electronics-and-telecommunications-engineering-new,https://www.shl.com/products/product-catalog/view/electronics-and-telecommunications-engineering-new/
electronics-and-embedded-systems-engineering-new,https://www.shl.com/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/
electronics-and-semiconductor-engineering-new,https://www.shl.com/products/product-catalog/view/electronics-and-semiconductor-engineering-new/
english-comprehension-new,https://www.shl.com/products/product-catalog/view/english-comprehension-new/
enterprise-java-beans-new,https://www.shl.com/products/product-catalog/view/enterprise-java-beans-new/
enterprise-leadership-report,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report/
enterprise-leadership-report-2-0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report-2-0/
entry-level-cashier-solution,https://www.shl.com/products/product-catalog/view/entry-level-cashier-solution/
entry-level-customer-serv-retail-and-contact-center,https://www.shl.com/products/product-catalog/view/entry-level-customer-serv-retail-and-contact-center/
entry-level-customer-service-general-solution,https://www.shl.com/products/product-catalog/view/entry-level-customer-service-general-solution/
entry-level-hotel-front-desk-solution,https://www.shl.com/products/product-catalog/view/entry-level-hotel-front-desk-solution/
entry-level-sales-solution,https://www.shl.com/products/product-catalog/view/entry-level-sales-solution/
entry-level-technical-support-solution,https://www.shl.com/products/product-catalog/view/entry-level-technical-support-solution/
etl-testing-new,https://www.shl.com/products/product-catalog/view/etl-testing-new/
executive-scenarios,https://www.shl.com/products/product-catalog/view/executive-scenarios/
executive-scenarios-narrative-report,https://www.shl.com/products/product-catalog/view/executive-scenarios-narrative-report/
